"","V1","V2","V3","V4","V5","V6","Parameter"
"18841",0.95,0.772,0.953,1.116,1123.607,1.003,"B_0"
"18842",-0.103,-0.343,-0.103,0.14,1050.247,1.003,"B_x"
"18843",0.285,0.157,0.285,0.411,1535.345,1.003,"psi"
"18844",0.172,0.101,0.165,0.28,1754.16,1,"Sigma2_intercept"
"18845",0.115,0.056,0.11,0.204,2000.187,1,"Sigma2_psi"
"18846",0.764,0.521,0.741,1.119,1688.878,1,"Sigma2_x"
"18847",0.004,0,0.002,0.019,2073.151,1.001,"Sigma2_epsilon"
"18848",0.069,0.024,0.065,0.141,2456.22,1.001,"Sigma2_phi"
"18849",-0.037,-0.095,-0.036,0.011,1580.516,1.001,"cov_int_psi"
"18850",0.056,0.018,0.053,0.109,1843.684,1.002,"cov_int_phi"
"18851",-0.028,-0.064,-0.027,-0.002,2246.773,1.003,"cov_psi_phi"
"18852",-0.037,-0.095,-0.036,0.011,1580.516,1.001,"cov_1"
"18853",-0.004,-0.026,-0.002,0.01,4329.198,1,"cov_2"
"18854",-0.001,-0.015,0,0.011,3875.05,1,"cov_3"
"18855",0.209,0.106,0.202,0.346,1811.507,1,"cov_4"
"18856",-0.095,-0.198,-0.093,-0.009,2076.166,1.001,"cov_5"
"18857",0.002,-0.04,0,0.049,663.419,1.001,"cov_6"
"18858",0.602,0.541,0.601,0.669,5902.037,1,"Sigma2_e"
"18859",0.103,0.093,0.103,0.115,8850.88,1,"Sigma2_ex"
"18860",201.912,173.821,201.914,229.028,923.358,1.001,"lp_"
"18861",1.027,0.861,1.027,1.19,1207.108,1,"B_0"
"18862",0.164,-0.055,0.162,0.387,991.758,1.001,"B_x"
"18863",0.356,0.222,0.356,0.49,1202.309,1.001,"psi"
"18864",0.14,0.08,0.135,0.224,1550.894,1,"Sigma2_intercept"
"18865",0.109,0.049,0.105,0.197,1893.64,1,"Sigma2_psi"
"18866",0.655,0.442,0.641,0.965,1565.989,1,"Sigma2_x"
"18867",0.005,0,0.003,0.024,1663.493,1,"Sigma2_epsilon"
"18868",0.089,0.039,0.085,0.167,1842.945,1.001,"Sigma2_phi"
"18869",-0.018,-0.067,-0.017,0.028,1603.737,1,"cov_int_psi"
"18870",0.048,0.013,0.046,0.097,1687.91,1,"cov_int_phi"
"18871",-0.043,-0.085,-0.042,-0.012,1772.956,1,"cov_psi_phi"
"18872",-0.018,-0.067,-0.017,0.028,1603.737,1,"cov_1"
"18873",0.002,-0.013,0.001,0.019,3316.527,1.002,"cov_2"
"18874",-0.002,-0.019,-0.001,0.011,3694.128,1,"cov_3"
"18875",0.128,0.041,0.125,0.24,1838.778,1,"cov_4"
"18876",-0.117,-0.217,-0.115,-0.037,1719.736,1,"cov_5"
"18877",-0.001,-0.046,0,0.044,527.887,1.001,"cov_6"
"18878",0.595,0.534,0.594,0.661,5055.781,1,"Sigma2_e"
"18879",0.096,0.087,0.096,0.107,8054.263,1,"Sigma2_ex"
"18880",235.21,205.465,235.608,263.081,706.37,1,"lp_"
"18881",1.076,0.922,1.076,1.222,1557.007,1,"B_0"
"18882",0.147,-0.081,0.147,0.388,1328.666,1,"B_x"
"18883",0.304,0.115,0.305,0.481,524.393,1,"psi"
"18884",0.105,0.055,0.1,0.18,1584.925,1.001,"Sigma2_intercept"
"18885",0.077,0.032,0.073,0.145,1602.139,1,"Sigma2_psi"
"18886",0.746,0.503,0.725,1.131,1276.481,1.002,"Sigma2_x"
"18887",0.028,0.002,0.025,0.073,1240.128,1,"Sigma2_epsilon"
"18888",0.097,0.042,0.092,0.178,2273.236,1,"Sigma2_phi"
"18889",-0.038,-0.081,-0.036,-0.005,1927.897,1,"cov_int_psi"
"18890",0.027,-0.008,0.026,0.069,1564.974,1,"cov_int_phi"
"18891",-0.026,-0.062,-0.024,0.004,1497.27,1,"cov_psi_phi"
"18892",-0.038,-0.081,-0.036,-0.005,1927.897,1,"cov_1"
"18893",-0.008,-0.038,-0.007,0.017,1424.221,1,"cov_2"
"18894",-0.003,-0.026,-0.003,0.017,1821.487,1,"cov_3"
"18895",0.116,0.033,0.112,0.223,1505.65,1.002,"cov_4"
"18896",-0.074,-0.165,-0.072,0.003,1185.141,1,"cov_5"
"18897",0,-0.101,-0.001,0.102,328.548,1,"cov_6"
"18898",0.597,0.533,0.596,0.667,2979.32,1,"Sigma2_e"
"18899",0.106,0.096,0.106,0.117,6220.173,1,"Sigma2_ex"
