"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.287,0.253,0.287,0.319,2743.762,1,"psi"
0.191,0.154,0.191,0.23,921.581,1,"Sigma2_intercept"
0.007,0,0.004,0.027,177.15,1.007,"Sigma2_epsilon"
0.086,0.066,0.084,0.111,382.016,1.003,"Sigma2_phi"
0.939,0.939,0.939,0.939,0.5,1,"Sigma2_x"
0.041,0.025,0.041,0.059,1723.95,1,"cov_int_phi"
0.002,-0.014,0.001,0.02,1651.339,1,"cov_2"
0.668,0.628,0.668,0.709,1001.589,1.001,"Sigma2_e"
-1758.281,-1840.195,-1759.071,-1676.7,409.545,1.003,"lp__"
0.997,0.954,0.997,1.039,3248.984,1,"B_0"
0.271,0.239,0.271,0.304,2747.105,1,"psi"
0.207,0.168,0.207,0.247,1793.476,1,"Sigma2_intercept"
0.008,0,0.004,0.034,117.599,1.038,"Sigma2_epsilon"
0.089,0.067,0.087,0.118,282.64,1.016,"Sigma2_phi"
1.123,1.123,1.123,1.123,0.5,1,"Sigma2_x"
0.039,0.019,0.039,0.056,1513.841,1,"cov_int_phi"
-0.004,-0.023,-0.003,0.014,801.423,1.001,"cov_2"
0.735,0.687,0.735,0.78,376.048,1.01,"Sigma2_e"
-1910.815,-1989.814,-1912.26,-1822.783,258.25,1.02,"lp__"
1.034,0.986,1.033,1.082,2606.66,1,"B_0"
0.231,0.199,0.231,0.264,3131.051,1,"psi"
0.231,0.19,0.23,0.277,1312.382,1,"Sigma2_intercept"
0.007,0,0.005,0.023,548.41,1,"Sigma2_epsilon"
0.068,0.051,0.067,0.091,1095.814,1,"Sigma2_phi"
1.067,1.067,1.067,1.067,0.5,1,"Sigma2_x"
0.05,0.031,0.049,0.071,1521.907,1,"cov_int_phi"
0.011,-0.006,0.011,0.034,1353.621,1,"cov_2"
0.7,0.659,0.7,0.743,2385.889,1,"Sigma2_e"
-1833.102,-1911.568,-1832.08,-1755.904,724.076,1,"lp__"
0.994,0.95,0.994,1.037,3492.621,1.001,"B_0"
0.299,0.266,0.299,0.331,4755.097,1,"psi"
0.197,0.161,0.196,0.237,1452.72,1,"Sigma2_intercept"
0.002,0,0.001,0.01,881.996,1.001,"Sigma2_epsilon"
0.09,0.071,0.089,0.11,4185.027,1,"Sigma2_phi"
0.99,0.99,0.99,0.99,0.5,1,"Sigma2_x"
0.042,0.026,0.042,0.056,2991.564,1.001,"cov_int_phi"
-0.003,-0.018,-0.001,0.01,3082.147,1.001,"cov_2"
0.712,0.673,0.712,0.753,2684.829,1,"Sigma2_e"
-1862.371,-1936.491,-1862.572,-1791.054,951.86,1.003,"lp__"
1.024,0.98,1.024,1.068,3220.026,1,"B_0"
0.264,0.232,0.264,0.295,4287.099,1,"psi"
0.181,0.146,0.181,0.219,1760.002,1.001,"Sigma2_intercept"
0.01,0,0.007,0.035,299.064,1.004,"Sigma2_epsilon"
0.087,0.065,0.086,0.117,487.756,1.002,"Sigma2_phi"
1.067,1.067,1.067,1.067,0.5,1,"Sigma2_x"
0.038,0.021,0.037,0.058,1541.958,1,"cov_int_phi"
0.007,-0.009,0.006,0.027,1314.605,1,"cov_2"
0.73,0.684,0.73,0.775,1296.185,1,"Sigma2_e"
-1900.237,-1982.691,-1901.443,-1814.165,565.998,1,"lp__"
0.987,0.945,0.986,1.031,3729.916,1,"B_0"
0.275,0.24,0.275,0.308,5559.008,1,"psi"
